------ Execution Data ------ 

Tamanho do Cubo: 25x25x25
N° de Células: 15625
Células Bloqueadas: 4687 (30%)
Número de Rotas (Start- Goal): 6000

 Block   ;G(n) ;Tempo (ms) 
[10,12,20]  ;  0  ;  0
[6,22,12]  ;  0  ;  0
[13,9,22]  ;  0  ;  0
[11,2,1]  ;  0  ;  0
[9,6,10]  ;  0  ;  0
[10,22,21]  ;  0  ;  0
[12,18,21]  ;  14  ;  3
[9,17,16]  ;  0  ;  0
[11,5,1]  ;  0  ;  0
[9,1,4]  ;  24  ;  9
[14,11,19]  ;  0  ;  0
[11,7,15]  ;  0  ;  0
[19,19,9]  ;  0  ;  0
[2,24,0]  ;  37  ;  121
[22,23,22]  ;  0  ;  0
[0,13,10]  ;  38  ;  54
[2,13,10]  ;  0  ;  0
[13,6,20]  ;  29  ;  28
[0,15,10]  ;  0  ;  0
[15,14,14]  ;  0  ;  0
[21,5,14]  ;  0  ;  0
[5,2,9]  ;  37  ;  78
[19,22,13]  ;  0  ;  0
[24,12,22]  ;  0  ;  0
[19,18,1]  ;  0  ;  0
[20,17,14]  ;  19  ;  7
[2,13,7]  ;  0  ;  0
[4,14,7]  ;  0  ;  0
[16,11,4]  ;  0  ;  0
[6,2,21]  ;  0  ;  0
[16,18,1]  ;  0  ;  0
[19,5,13]  ;  31  ;  43
[15,24,12]  ;  0  ;  0
[20,15,1]  ;  40  ;  115
[5,1,15]  ;  0  ;  0
[20,13,1]  ;  32  ;  21
[21,20,24]  ;  0  ;  0
[20,16,5]  ;  22  ;  6
[23,20,15]  ;  0  ;  0
[4,24,20]  ;  23  ;  8
[4,20,15]  ;  16  ;  6
[4,4,13]  ;  0  ;  0
[18,0,22]  ;  26  ;  14
[21,6,20]  ;  0  ;  0
[24,5,23]  ;  11  ;  1
[8,19,2]  ;  27  ;  14
[17,13,4]  ;  0  ;  0
[4,3,20]  ;  22  ;  11
[4,24,14]  ;  0  ;  0
[5,18,2]  ;  0  ;  0
[11,18,7]  ;  23  ;  10
[23,21,21]  ;  0  ;  0
