------ Execution Data ------

Tamanho do Cubo: 15x15x15
N° de Células: 3375
Células Bloqueadas: 337 (10%)
Número de Rotas (Start- Goal): 3000
 
 Block   ;G(n) ;Tempo (ms) 
[11,7,5]  ;  9  ;  1
[7,10,10]  ;  17  ;  52
[4,5,13]  ;  19  ;  47
[11,6,3]  ;  13  ;  9
[6,11,14]  ;  19  ;  38
[13,6,4]  ;  11  ;  6
[0,6,10]  ;  19  ;  28
[13,11,8]  ;  12  ;  6
[11,0,7]  ;  11  ;  2
[7,9,6]  ;  7  ;  3
[7,0,11]  ;  5  ;  1
[2,4,13]  ;  0  ;  0
[13,9,7]  ;  18  ;  36
[1,5,5]  ;  17  ;  10
[9,1,10]  ;  11  ;  5
[13,6,3]  ;  8  ;  2
[1,14,0]  ;  14  ;  11
[8,11,8]  ;  15  ;  15
[3,3,13]  ;  0  ;  0
[13,7,11]  ;  21  ;  45
[13,5,1]  ;  27  ;  134
[6,11,10]  ;  17  ;  17
[2,5,9]  ;  16  ;  10
[11,5,3]  ;  19  ;  33
[0,9,10]  ;  14  ;  15
[8,5,10]  ;  14  ;  14
[11,5,12]  ;  6  ;  2
[8,4,8]  ;  0  ;  0
[5,9,3]  ;  7  ;  2
[4,0,1]  ;  15  ;  5
[6,12,2]  ;  19  ;  37
[8,0,13]  ;  24  ;  64
[1,10,6]  ;  14  ;  13
[10,13,13]  ;  19  ;  21
[4,3,6]  ;  12  ;  7
[1,0,4]  ;  0  ;  0
[5,5,7]  ;  16  ;  20
[0,1,0]  ;  18  ;  26
[12,8,4]  ;  0  ;  0
[9,0,8]  ;  9  ;  2
[1,11,0]  ;  0  ;  0
[10,2,10]  ;  0  ;  0
[12,1,2]  ;  21  ;  37
[5,12,4]  ;  28  ;  106
[12,12,8]  ;  9  ;  1
[13,0,11]  ;  21  ;  58
[2,2,1]  ;  6  ;  1
[13,4,12]  ;  22  ;  59
[8,4,13]  ;  13  ;  11
[0,14,4]  ;  0  ;  0
[3,9,2]  ;  0  ;  0
[10,5,13]  ;  13  ;  5
[8,14,1]  ;  25  ;  57
[12,3,6]  ;  0  ;  0
[11,1,1]  ;  16  ;  21
[5,12,11]  ;  9  ;  3
[4,2,9]  ;  19  ;  36
[13,10,3]  ;  11  ;  6
[4,9,1]  ;  5  ;  1
[8,1,11]  ;  15  ;  17
[5,6,14]  ;  13  ;  8
[2,9,9]  ;  9  ;  2
[6,12,10]  ;  13  ;  9
[4,12,8]  ;  12  ;  4
[5,12,12]  ;  11  ;  7
[2,8,14]  ;  18  ;  19
[0,8,7]  ;  14  ;  10
[12,6,5]  ;  13  ;  13
[11,14,11]  ;  17  ;  25
[12,7,6]  ;  10  ;  5
[4,5,10]  ;  7  ;  1
[10,12,8]  ;  11  ;  4
[12,2,2]  ;  9  ;  5
[14,1,7]  ;  25  ;  79
[9,13,2]  ;  19  ;  15
[8,11,12]  ;  17  ;  21
[0,1,11]  ;  14  ;  10
[0,14,9]  ;  11  ;  6
[8,3,13]  ;  26  ;  72
[2,8,10]  ;  0  ;  0
[13,5,9]  ;  0  ;  0
[13,14,2]  ;  18  ;  35
[9,7,0]  ;  0  ;  0
[4,2,1]  ;  19  ;  24
[10,7,9]  ;  13  ;  7
[9,0,9]  ;  0  ;  0
[3,14,8]  ;  15  ;  16
[11,0,0]  ;  12  ;  3
[7,2,13]  ;  18  ;  20
[1,9,12]  ;  22  ;  50
[3,2,6]  ;  12  ;  4
[9,1,2]  ;  22  ;  52
[10,11,2]  ;  14  ;  8
[5,8,14]  ;  18  ;  27
[3,8,10]  ;  6  ;  1
[6,9,5]  ;  11  ;  8
[2,9,1]  ;  14  ;  15
[11,13,10]  ;  0  ;  0
[6,3,14]  ;  9  ;  1
[8,5,9]  ;  16  ;  11
[8,11,3]  ;  0  ;  0
[9,7,6]  ;  14  ;  16
[1,4,4]  ;  17  ;  27
[11,5,1]  ;  11  ;  4
[1,3,14]  ;  27  ;  115
[0,1,1]  ;  21  ;  28
[2,6,6]  ;  24  ;  40
[8,9,5]  ;  0  ;  0
[2,5,4]  ;  17  ;  28
[6,3,5]  ;  0  ;  0
[11,13,0]  ;  28  ;  93
[4,14,9]  ;  22  ;  40
[3,7,3]  ;  17  ;  17
[8,13,11]  ;  8  ;  3
[4,0,3]  ;  22  ;  36
[4,6,10]  ;  14  ;  13
[4,5,6]  ;  24  ;  68
[9,4,1]  ;  13  ;  8
[14,4,7]  ;  15  ;  12
[3,7,0]  ;  17  ;  23
[4,13,14]  ;  0  ;  0
[3,11,10]  ;  0  ;  0
[5,1,12]  ;  4  ;  1
[13,2,13]  ;  29  ;  104
[6,10,11]  ;  0  ;  0
[8,12,13]  ;  30  ;  101
[5,12,9]  ;  8  ;  4
[13,0,9]  ;  21  ;  44
[10,2,7]  ;  14  ;  9
[12,9,5]  ;  7  ;  2
[10,6,10]  ;  7  ;  1
[5,11,14]  ;  0  ;  0
[3,6,5]  ;  12  ;  7
[8,5,0]  ;  12  ;  7
[14,14,8]  ;  15  ;  12
[11,1,9]  ;  12  ;  7
[6,7,2]  ;  0  ;  0
[12,11,12]  ;  19  ;  26
[6,10,1]  ;  17  ;  18
[7,7,8]  ;  0  ;  0
[0,5,4]  ;  17  ;  26
[10,5,8]  ;  15  ;  15
[9,9,4]  ;  13  ;  6
[13,12,1]  ;  10  ;  5
[2,9,0]  ;  14  ;  9
[1,6,14]  ;  5  ;  1
[7,1,7]  ;  11  ;  5
